s_no,ISBN,title,Author,YrPub,Publisher,Img-url-s,Img-url-m,Img-url-l,ratings,price,quantity
149,771074670,"Nights Below Station Street","David Adams Richards",1988,"Emblem Editions",http://images.amazon.com/images/P/0771074670.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg,9,453,53
150,804106304,"The Joy Luck Club","Amy Tan",1994,"Prentice Hall (K-12)",http://images.amazon.com/images/P/0804106304.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg,3,234,34
151,812523873,Proxies,"Laura J. Mixon",1999,"Tor Books",http://images.amazon.com/images/P/0812523873.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812523873.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812523873.01.LZZZZZZZ.jpg,8,432,403
152,842342702,"Left Behind: A Novel of the Earth's Last Days (Left Behind #1)","Tim Lahaye",2000,"Tyndale House Publishers",http://images.amazon.com/images/P/0842342702.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg,2,653,530
153,887841740,"The Middle Stories","Sheila Heti",2004,"House of Anansi Press",http://images.amazon.com/images/P/0887841740.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg,1,63,93
154,961769947,"Northwest Wines and Wineries","Chuck Hill",1993,"Speed Graphics",http://images.amazon.com/images/P/0961769947.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0961769947.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0961769947.01.LZZZZZZZ.jpg,7,522,592
155,964778319,"An Atmosphere of Eternity: Stories of India","David Iglehart",2002,"Sunflower Press",http://images.amazon.com/images/P/0964778319.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0964778319.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0964778319.01.LZZZZZZZ.jpg,6,882,802
156,971880107,"Wild Animus","Rich Shapero",2004,"Too Far",http://images.amazon.com/images/P/0971880107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,7,234,304
157,1414035004,"The Adventures of Drew and Ellie: The Magical Dress","Charles Noland",2003,"1stBooks Library",http://images.amazon.com/images/P/1414035004.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1414035004.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1414035004.01.LZZZZZZZ.jpg,6,621,210
158,1552041778,"Jane Doe","R. J. Kaiser",1999,"Mira Books",http://images.amazon.com/images/P/1552041778.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg,8,525,505
159,1558746218,"A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series)","Jack Canfield",1998,"Health Communications",http://images.amazon.com/images/P/1558746218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg,9,625,65
160,1567407781,"The Witchfinder (Amos Walker Mystery Series)","Loren D. Estleman",1998,"Brilliance Audio - Trade",http://images.amazon.com/images/P/1567407781.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg,4,827,82
161,1575663937,"More Cunning Than Man: A Social History of Rats and Man","Robert Hendrickson",1999,"Kensington Publishing Corp.",http://images.amazon.com/images/P/1575663937.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg,8,920,67
162,1841721522,"New Vegetarian: Bold and Beautiful Recipes for Every Occasion","Celia Brooks Brown",2001,"Ryland Peters &amp; Small Ltd",http://images.amazon.com/images/P/1841721522.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1841721522.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg,3,300,123
163,1853260053,"Tess of the D'Urbervilles (Wordsworth Classics)","Thomas Hardy",1997,"NTC/Contemporary Publishing Company",http://images.amazon.com/images/P/1853260053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853260053.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg,10,220,20
164,1853262404,"Heart of Darkness (Wordsworth Collection)","Joseph Conrad",1998,"NTC/Contemporary Publishing Company",http://images.amazon.com/images/P/1853262404.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1853262404.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg,10,405,45
165,1879384493,"If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself","J. R. Parrish",2003,"Cypress House",http://images.amazon.com/images/P/1879384493.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg,5,604,64
166,1881320189,"Goodbye to the Buttermilk Sky","Julia Oliver",1994,"River City Pub",http://images.amazon.com/images/P/1881320189.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1881320189.01.LZZZZZZZ.jpg,5,909,99
167,2070423204,"Lieux dits","Michel Tournier",2002,Gallimard,http://images.amazon.com/images/P/2070423204.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2070423204.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2070423204.01.LZZZZZZZ.jpg,7,707,1707
